Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T18:19:00.000Z,"6,457.76","6,458.43","6,457.75","6,458.30",0.0082,0.0078,26
2025-08-29T18:20:00.000Z,"6,458.36","6,458.36","6,454.17","6,454.72",-0.0554,-0.0558,98
2025-08-29T18:21:00.000Z,"6,454.96","6,456.60","6,454.90","6,455.67",0.0147,0.0143,40
2025-08-29T18:22:00.000Z,"6,455.55","6,456.45","6,455.46","6,456.22",0.0085,0.0081,34
2025-08-29T18:23:00.000Z,"6,456.10","6,456.85","6,455.77","6,456.85",0.0098,0.0094,30
2025-08-29T18:24:00.000Z,"6,457.01","6,457.08","6,456.47","6,456.98",0.002,0.0016,30
2025-08-29T18:25:00.000Z,"6,456.99","6,457.62","6,456.79","6,456.79",-0.0029,-0.0034,36
2025-08-29T18:26:00.000Z,"6,456.67","6,456.86","6,455.44","6,455.56",-0.019,-0.0195,42
2025-08-29T18:27:00.000Z,"6,455.52","6,455.92","6,455.05","6,455.27",-0.0045,-0.0049,29
2025-08-29T18:28:00.000Z,"6,455.33","6,455.58","6,454.75","6,455.03",-0.0037,-0.0041,30
2025-08-29T18:29:00.000Z,"6,455.01","6,455.82","6,454.96","6,455.56",0.0082,0.0078,28
2025-08-29T18:30:00.000Z,"6,455.53","6,457.45","6,455.53","6,457.45",0.0293,0.0289,31
2025-08-29T18:31:00.000Z,"6,457.50","6,457.54","6,456.93","6,457.46",0.0002,-0.0003,35
2025-08-29T18:32:00.000Z,"6,457.47","6,458.82","6,457.37","6,458.55",0.0169,0.0165,30
2025-08-29T18:33:00.000Z,"6,458.54","6,458.74","6,458.06","6,458.34",-0.0033,-0.0037,30
2025-08-29T18:34:00.000Z,"6,458.44","6,459.26","6,458.44","6,459.21",0.0135,0.0131,27
2025-08-29T18:35:00.000Z,"6,459.18","6,459.99","6,459.06","6,459.96",0.0116,0.0112,30
2025-08-29T18:36:00.000Z,"6,459.97","6,459.99","6,459.02","6,459.19",-0.0119,-0.0123,34
2025-08-29T18:37:00.000Z,"6,458.89","6,459.71","6,458.89","6,459.67",0.0074,0.007,28
2025-08-29T18:38:00.000Z,"6,459.68","6,459.68","6,458.48","6,458.69",-0.0152,-0.0156,36
2025-08-29T18:39:00.000Z,"6,458.76","6,458.76","6,457.28","6,457.33",-0.0211,-0.0215,29
2025-08-29T18:40:00.000Z,"6,457.30","6,457.58","6,456.59","6,457.27",-0.0009,-0.0013,33
2025-08-29T18:41:00.000Z,"6,457.22","6,457.85","6,457.15","6,457.67",0.0062,0.0058,27
2025-08-29T18:42:00.000Z,"6,457.65","6,457.96","6,456.36","6,456.41",-0.0195,-0.0199,33
2025-08-29T18:43:00.000Z,"6,456.31","6,456.45","6,455.99","6,456.24",-0.0026,-0.003,30
2025-08-29T18:44:00.000Z,"6,456.20","6,456.47","6,455.77","6,455.78",-0.0071,-0.0075,32
2025-08-29T18:45:00.000Z,"6,455.74","6,457.06","6,455.64","6,456.93",0.0178,0.0174,32
2025-08-29T18:46:00.000Z,"6,456.91","6,456.93","6,455.87","6,456.01",-0.0142,-0.0147,35
2025-08-29T18:47:00.000Z,"6,456.00","6,457.14","6,455.90","6,456.91",0.0139,0.0135,26
2025-08-29T18:48:00.000Z,"6,456.90","6,457.07","6,456.57","6,456.59",-0.005,-0.0054,27
